WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = randexamples
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1225.2 MiB | K    1 | loss  2.857691383e+00 |  
   48.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888808e+00 | Ndiff    0.014 
   49.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888801e+00 | Ndiff    0.014 
   50.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888794e+00 | Ndiff    0.014 
   51.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888786e+00 | Ndiff    0.014 
   52.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888776e+00 | Ndiff    0.016 
   53.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888765e+00 | Ndiff    0.017 
   54.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888753e+00 | Ndiff    0.017 
   55.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888739e+00 | Ndiff    0.019 
   56.000/300 after      6 sec. |   1621.1 MiB | K   12 | loss  1.167888722e+00 | Ndiff    0.021 
   57.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888702e+00 | Ndiff    0.024 
   58.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888678e+00 | Ndiff    0.025 
   59.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888650e+00 | Ndiff    0.027 
   60.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888613e+00 | Ndiff    0.030 
   61.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888567e+00 | Ndiff    0.035 
   62.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888508e+00 | Ndiff    0.038 
   63.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888434e+00 | Ndiff    0.045 
   64.000/300 after      7 sec. |   1621.1 MiB | K   12 | loss  1.167888339e+00 | Ndiff    0.047 
   65.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167888212e+00 | Ndiff    0.057 
   66.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167888049e+00 | Ndiff    0.067 
   67.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167887843e+00 | Ndiff    0.072 
   68.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167887596e+00 | Ndiff    0.072 
   69.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167887319e+00 | Ndiff    0.081 
   70.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167887027e+00 | Ndiff    0.083 
   71.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167886762e+00 | Ndiff    0.068 
   72.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167886546e+00 | Ndiff    0.067 
   73.000/300 after      8 sec. |   1621.1 MiB | K   12 | loss  1.167886391e+00 | Ndiff    0.050 
   74.000/300 after      9 sec. |   1621.1 MiB | K   12 | loss  1.167886292e+00 | Ndiff    0.044 
   75.000/300 after      9 sec. |   1621.1 MiB | K   12 | loss  1.167886234e+00 | Ndiff    0.028 
   76.000/300 after      9 sec. |   1621.1 MiB | K   12 | loss  1.167886202e+00 | Ndiff    0.024 
   77.000/300 after      9 sec. |   1621.1 MiB | K   12 | loss  1.167886185e+00 | Ndiff    0.013 
   78.000/300 after      9 sec. |   1621.1 MiB | K   12 | loss  1.167886176e+00 | Ndiff    0.012 
   79.000/300 after      9 sec. |   1621.1 MiB | K   12 | loss  1.167886172e+00 | Ndiff    0.007 
   80.000/300 after      9 sec. |   1621.1 MiB | K   12 | loss  1.167886170e+00 | Ndiff    0.005 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.387822551e+00 |  
    0.400/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.255798163e+00 |  
    0.600/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.206302807e+00 |  
    1.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.172094858e+00 |  
    2.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.169830608e+00 | Ndiff    7.718 
    3.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.169600649e+00 | Ndiff    1.200 
    4.000/300 after      0 sec. |   1621.1 MiB | K   12 | loss  1.169471463e+00 | Ndiff    0.682 
    5.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169449018e+00 | Ndiff    0.642 
    6.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169443079e+00 | Ndiff    0.328 
    7.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169439986e+00 | Ndiff    0.277 
    8.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169437552e+00 | Ndiff    0.162 
    9.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169434820e+00 | Ndiff    0.231 
   10.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169430116e+00 | Ndiff    0.343 
   11.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169422064e+00 | Ndiff    0.363 
   12.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169413351e+00 | Ndiff    0.500 
   13.000/300 after      1 sec. |   1621.1 MiB | K   12 | loss  1.169408864e+00 | Ndiff    0.261 
   14.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169407492e+00 | Ndiff    0.174 
   15.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169406934e+00 | Ndiff    0.069 
   16.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169406521e+00 | Ndiff    0.052 
   17.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169406089e+00 | Ndiff    0.077 
   18.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169405493e+00 | Ndiff    0.079 
   19.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169404627e+00 | Ndiff    0.088 
   20.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169403444e+00 | Ndiff    0.094 
   21.000/300 after      2 sec. |   1621.1 MiB | K   12 | loss  1.169402077e+00 | Ndiff    0.144 
   22.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169400770e+00 | Ndiff    0.128 
   23.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169399915e+00 | Ndiff    0.094 
   24.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169399508e+00 | Ndiff    0.070 
   25.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169399348e+00 | Ndiff    0.042 
   26.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169399281e+00 | Ndiff    0.026 
   27.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169399248e+00 | Ndiff    0.021 
   28.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169399230e+00 | Ndiff    0.017 
   29.000/300 after      3 sec. |   1621.1 MiB | K   12 | loss  1.169399220e+00 | Ndiff    0.013 
   30.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.169399214e+00 | Ndiff    0.009 
   31.000/300 after      4 sec. |   1621.1 MiB | K   12 | loss  1.169399211e+00 | Ndiff    0.007 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1581.6 MiB | K   12 | loss  1.418202166e+00 |  
    0.400/300 after      0 sec. |   1581.6 MiB | K   12 | loss  1.265115899e+00 |  
    0.600/300 after      0 sec. |   1581.6 MiB | K   12 | loss  1.210903247e+00 |  
    1.000/300 after      0 sec. |   1581.6 MiB | K   12 | loss  1.168621288e+00 |  
    2.000/300 after      0 sec. |   1581.6 MiB | K   12 | loss  1.166416866e+00 | Ndiff   17.288 
    3.000/300 after      0 sec. |   1581.6 MiB | K   12 | loss  1.165632081e+00 | Ndiff    4.065 
    4.000/300 after      0 sec. |   1581.6 MiB | K   12 | loss  1.165377574e+00 | Ndiff    1.571 
    5.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165273847e+00 | Ndiff    1.382 
    6.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165214758e+00 | Ndiff    0.711 
    7.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165175331e+00 | Ndiff    0.694 
    8.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165150271e+00 | Ndiff    0.750 
    9.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165134121e+00 | Ndiff    0.703 
   10.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165125245e+00 | Ndiff    0.542 
   11.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165121259e+00 | Ndiff    0.380 
   12.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165119321e+00 | Ndiff    0.203 
   13.000/300 after      1 sec. |   1581.6 MiB | K   12 | loss  1.165118393e+00 | Ndiff    0.161 
   14.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117903e+00 | Ndiff    0.104 
   15.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117619e+00 | Ndiff    0.069 
   16.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117458e+00 | Ndiff    0.043 
   17.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117365e+00 | Ndiff    0.034 
   18.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117303e+00 | Ndiff    0.033 
   19.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117259e+00 | Ndiff    0.031 
   20.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117228e+00 | Ndiff    0.021 
   21.000/300 after      2 sec. |   1581.6 MiB | K   12 | loss  1.165117204e+00 | Ndiff    0.024 
   22.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117185e+00 | Ndiff    0.020 
   23.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117170e+00 | Ndiff    0.014 
   24.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117158e+00 | Ndiff    0.017 
   25.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117148e+00 | Ndiff    0.012 
   26.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117139e+00 | Ndiff    0.012 
   27.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117132e+00 | Ndiff    0.012 
   28.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117126e+00 | Ndiff    0.012 
   29.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117121e+00 | Ndiff    0.010 
   30.000/300 after      3 sec. |   1581.6 MiB | K   12 | loss  1.165117117e+00 | Ndiff    0.008 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1621.3 MiB | K   12 | loss  1.430406181e+00 |  
    0.400/300 after      0 sec. |   1621.3 MiB | K   12 | loss  1.274654797e+00 |  
    0.600/300 after      0 sec. |   1621.3 MiB | K   12 | loss  1.224192170e+00 |  
    1.000/300 after      0 sec. |   1621.3 MiB | K   12 | loss  1.178742271e+00 |  
    2.000/300 after      0 sec. |   1621.3 MiB | K   12 | loss  1.176861375e+00 | Ndiff    5.880 
    3.000/300 after      0 sec. |   1621.3 MiB | K   12 | loss  1.176664061e+00 | Ndiff    1.987 
    4.000/300 after      0 sec. |   1621.3 MiB | K   12 | loss  1.176602071e+00 | Ndiff    1.015 
    5.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176569460e+00 | Ndiff    0.637 
    6.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176551873e+00 | Ndiff    0.390 
    7.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176543550e+00 | Ndiff    0.321 
    8.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176539258e+00 | Ndiff    0.222 
    9.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176536615e+00 | Ndiff    0.209 
   10.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176534734e+00 | Ndiff    0.160 
   11.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176533440e+00 | Ndiff    0.116 
   12.000/300 after      1 sec. |   1621.3 MiB | K   12 | loss  1.176532674e+00 | Ndiff    0.088 
   13.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176532279e+00 | Ndiff    0.050 
   14.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176532071e+00 | Ndiff    0.049 
   15.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176531945e+00 | Ndiff    0.038 
   16.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176531860e+00 | Ndiff    0.033 
   17.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176531800e+00 | Ndiff    0.027 
   18.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176531753e+00 | Ndiff    0.020 
   19.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176531714e+00 | Ndiff    0.024 
   20.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176531682e+00 | Ndiff    0.016 
   21.000/300 after      2 sec. |   1621.3 MiB | K   12 | loss  1.176531652e+00 | Ndiff    0.018 
   22.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531625e+00 | Ndiff    0.012 
   23.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531598e+00 | Ndiff    0.016 
   24.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531568e+00 | Ndiff    0.017 
   25.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531536e+00 | Ndiff    0.018 
   26.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531497e+00 | Ndiff    0.021 
   27.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531451e+00 | Ndiff    0.025 
   28.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531392e+00 | Ndiff    0.027 
   29.000/300 after      3 sec. |   1621.3 MiB | K   12 | loss  1.176531318e+00 | Ndiff    0.028 
   30.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176531221e+00 | Ndiff    0.031 
   31.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176531091e+00 | Ndiff    0.040 
   32.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176530927e+00 | Ndiff    0.050 
   33.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176530721e+00 | Ndiff    0.053 
   34.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176530484e+00 | Ndiff    0.058 
   35.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176530240e+00 | Ndiff    0.056 
   36.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176530031e+00 | Ndiff    0.050 
   37.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176529867e+00 | Ndiff    0.045 
   38.000/300 after      4 sec. |   1621.3 MiB | K   12 | loss  1.176529758e+00 | Ndiff    0.032 
   39.000/300 after      5 sec. |   1621.3 MiB | K   12 | loss  1.176529695e+00 | Ndiff    0.027 
   40.000/300 after      5 sec. |   1621.3 MiB | K   12 | loss  1.176529661e+00 | Ndiff    0.027 
   41.000/300 after      5 sec. |   1621.3 MiB | K   12 | loss  1.176529642e+00 | Ndiff    0.020 
   42.000/300 after      5 sec. |   1621.3 MiB | K   12 | loss  1.176529631e+00 | Ndiff    0.013 
   43.000/300 after      5 sec. |   1621.3 MiB | K   12 | loss  1.176529625e+00 | Ndiff    0.018 
   44.000/300 after      5 sec. |   1621.3 MiB | K   12 | loss  1.176529621e+00 | Ndiff    0.009 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1576.8 MiB | K   12 | loss  1.403317730e+00 |  
    0.400/300 after      0 sec. |   1576.8 MiB | K   12 | loss  1.260193844e+00 |  
    0.600/300 after      0 sec. |   1576.8 MiB | K   12 | loss  1.209459766e+00 |  
    1.000/300 after      0 sec. |   1576.8 MiB | K   12 | loss  1.163329269e+00 |  
    2.000/300 after      0 sec. |   1576.8 MiB | K   12 | loss  1.161622536e+00 | Ndiff    5.036 
    3.000/300 after      0 sec. |   1576.8 MiB | K   12 | loss  1.161223945e+00 | Ndiff    2.736 
    4.000/300 after      0 sec. |   1576.8 MiB | K   12 | loss  1.161115966e+00 | Ndiff    1.023 
    5.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161086423e+00 | Ndiff    0.439 
    6.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161072791e+00 | Ndiff    0.352 
    7.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161065779e+00 | Ndiff    0.245 
    8.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161062967e+00 | Ndiff    0.151 
    9.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161061860e+00 | Ndiff    0.126 
   10.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161061379e+00 | Ndiff    0.076 
   11.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161061170e+00 | Ndiff    0.048 
   12.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161061082e+00 | Ndiff    0.037 
   13.000/300 after      1 sec. |   1576.8 MiB | K   12 | loss  1.161061046e+00 | Ndiff    0.019 
   14.000/300 after      2 sec. |   1576.8 MiB | K   12 | loss  1.161061030e+00 | Ndiff    0.014 
   15.000/300 after      2 sec. |   1576.8 MiB | K   12 | loss  1.161061023e+00 | Ndiff    0.008 
   16.000/300 after      2 sec. |   1576.8 MiB | K   12 | loss  1.161061019e+00 | Ndiff    0.005 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.417144047e+00 |  
    0.400/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.269502152e+00 |  
    0.600/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.209181719e+00 |  
    1.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.170183000e+00 |  
    2.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.168361980e+00 | Ndiff    6.568 
    3.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.168148189e+00 | Ndiff    1.996 
    4.000/300 after      0 sec. |   1636.3 MiB | K   12 | loss  1.168087650e+00 | Ndiff    0.915 
    5.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168061542e+00 | Ndiff    0.400 
    6.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168043718e+00 | Ndiff    0.296 
    7.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168032035e+00 | Ndiff    0.273 
    8.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168027130e+00 | Ndiff    0.199 
    9.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168025296e+00 | Ndiff    0.156 
   10.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168024331e+00 | Ndiff    0.083 
   11.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168023654e+00 | Ndiff    0.092 
   12.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168023122e+00 | Ndiff    0.075 
   13.000/300 after      1 sec. |   1636.3 MiB | K   12 | loss  1.168022747e+00 | Ndiff    0.072 
   14.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.168022525e+00 | Ndiff    0.044 
   15.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.168022414e+00 | Ndiff    0.035 
   16.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.168022368e+00 | Ndiff    0.023 
   17.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.168022350e+00 | Ndiff    0.015 
   18.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.168022343e+00 | Ndiff    0.008 
   19.000/300 after      2 sec. |   1636.3 MiB | K   12 | loss  1.168022340e+00 | Ndiff    0.004 
... done. converged.
WARNING: Found unrecognized keyword args. These are ignored.
  --gamma1
Dataset Summary:
X Data
  total size: 5000 units
  batch size: 1000 units
  num. batches: 5
Allocation Model:  DP mixture with K=0. Concentration gamma0= 5.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[0.1 0. ]
   [0.  0.1]] ...
Initialization:
  initname = /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
  K = 1 (number of clusters)
  seed = 1607680
  elapsed_time: 0.0 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: /home/zifeng/Research/DPVAE/mnist_results_new8/Kmax50mnistepoch10batch_iter3scale0.005bs5000rep2sf0.1/1
    0.200/300 after      0 sec. |   1606.4 MiB | K   12 | loss  1.419429066e+00 |  
    0.400/300 after      0 sec. |   1606.4 MiB | K   12 | loss  1.268307922e+00 |  
    0.600/300 after      0 sec. |   1606.4 MiB | K   12 | loss  1.209683730e+00 |  
    1.000/300 after      0 sec. |   1606.4 MiB | K   12 | loss  1.163167316e+00 |  
    2.000/300 after      0 sec. |   1606.4 MiB | K   12 | loss  1.161292950e+00 | Ndiff    6.825 
    3.000/300 after      0 sec. |   1606.4 MiB | K   12 | loss  1.161038449e+00 | Ndiff    1.723 
    4.000/300 after      0 sec. |   1606.4 MiB | K   12 | loss  1.160949662e+00 | Ndiff    0.722 
    5.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160898669e+00 | Ndiff    0.673 
    6.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160863278e+00 | Ndiff    0.470 
    7.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160844170e+00 | Ndiff    0.310 
    8.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160835395e+00 | Ndiff    0.343 
    9.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160831244e+00 | Ndiff    0.465 
   10.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160829335e+00 | Ndiff    0.189 
   11.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160828471e+00 | Ndiff    0.169 
   12.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160828020e+00 | Ndiff    0.108 
   13.000/300 after      1 sec. |   1606.4 MiB | K   12 | loss  1.160827777e+00 | Ndiff    0.059 
